root[0]/title_mission[10]/text_mission[1],960.5,1006,303,40
root[0]/title_mission[10]/title_sprite[0],956.5,1006.5,547,137
root[0]/info_btn[9],1862.5,1023,75,78
root[0]/btn_back[8],69.5,1023.5,101,75
root[0]/Text_Mission[7]/Text[0]/txt_Mission0_3[0],1679,1021,264,34
root[0]/txt_500_WL[6],991.5,62,145,24
root[0]/icon_coin[5],877,62.5,48,55
root[0]/Button_Reroll[4],958,151,260,80
root[0]/Panel_Misssion_S[3]/title_MissionName[8],413.5,844,341,20
root[0]/Panel_Misssion_S[3]/txt_Rate[7],578.5,564,53,40
root[0]/Panel_Misssion_S[3]/title_MissionReq[6],344,581,238,74
root[0]/Panel_Misssion_S[3]/pack3[5]/txt_Lv.23[2],584.5,350.5,53,13
root[0]/Panel_Misssion_S[3]/pack3[5]/Char[1],559,429,108,108
root[0]/Panel_Misssion_S[3]/pack3[5]/Plate_slot_char[0],558,410,136,168
root[0]/Panel_Misssion_S[3]/pack2[4]/txt_Lv.23[2],439.5,350.5,53,13
root[0]/Panel_Misssion_S[3]/pack2[4]/Char[1],414,429,108,108
root[0]/Panel_Misssion_S[3]/pack2[4]/Plate_slot_char[0],413,410,136,168
root[0]/Panel_Misssion_S[3]/pack1[3]/txt_Lv.23[2],294.5,350.5,53,13
root[0]/Panel_Misssion_S[3]/pack1[3]/Char[1],269,429,108,108
root[0]/Panel_Misssion_S[3]/pack1[3]/Plate_slot_char[0],268,410,136,168
root[0]/Panel_Misssion_S[3]/MissionPanel_S[2],413.5,700,425,386
root[0]/Panel_Misssion_S[3]/Button_LOG[1],299,275,196,68
root[0]/Panel_Misssion_S[3]/Button_fight[0],528,275,196,68
root[0]/Panel_Misssion_C[2]/txt_cooldown[9],960.5,221.5,227,13
root[0]/Panel_Misssion_C[2]/title_MissionName[8],959.5,844,341,20
root[0]/Panel_Misssion_C[2]/txt_Rate[7],1124.5,564,53,40
root[0]/Panel_Misssion_C[2]/title_MissionReq[6],890,581,238,74
root[0]/Panel_Misssion_C[2]/pack3[5]/txt_Lv.23[2],1130.5,350.5,53,13
root[0]/Panel_Misssion_C[2]/pack3[5]/Char[1],1105,429,108,108
root[0]/Panel_Misssion_C[2]/pack3[5]/Plate_slot_char[0],1104,410,136,168
root[0]/Panel_Misssion_C[2]/pack2[4]/txt_Lv.23[2],985.5,350.5,53,13
root[0]/Panel_Misssion_C[2]/pack2[4]/Char[1],960,429,108,108
root[0]/Panel_Misssion_C[2]/pack2[4]/Plate_slot_char[0],959,410,136,168
root[0]/Panel_Misssion_C[2]/pack1[3]/txt_Lv.23[2],840.5,350.5,53,13
root[0]/Panel_Misssion_C[2]/pack1[3]/Char[1],815,429,108,108
root[0]/Panel_Misssion_C[2]/pack1[3]/Plate_slot_char[0],814,410,136,168
root[0]/Panel_Misssion_C[2]/MissionPanel_C[2],959.5,700,425,386
root[0]/Panel_Misssion_C[2]/Button_LOG[1],844,275,196,68
root[0]/Panel_Misssion_C[2]/Button_fight_off[0],1074,275,196,68
root[0]/Panel_Misssion_D[1]/title_MissionName[8],1505.5,844,341,20
root[0]/Panel_Misssion_D[1]/txt_Rate[7],1670.5,564,53,40
root[0]/Panel_Misssion_D[1]/title_MissionReq[6],1436,581,238,74
root[0]/Panel_Misssion_D[1]/pack3[5]/txt_Lv.23[2],1676.5,350.5,53,13
root[0]/Panel_Misssion_D[1]/pack3[5]/Char[1],1651,429,108,108
root[0]/Panel_Misssion_D[1]/pack3[5]/Plate_slot_char[0],1650,410,136,168
root[0]/Panel_Misssion_D[1]/pack2[4]/txt_Lv.23[2],1531.5,350.5,53,13
root[0]/Panel_Misssion_D[1]/pack2[4]/Char[1],1506,429,108,108
root[0]/Panel_Misssion_D[1]/pack2[4]/Plate_slot_char[0],1505,410,136,168
root[0]/Panel_Misssion_D[1]/pack1[3]/txt_Lv.23[2],1386.5,350.5,53,13
root[0]/Panel_Misssion_D[1]/pack1[3]/Char[1],1361,429,108,108
root[0]/Panel_Misssion_D[1]/pack1[3]/Plate_slot_char[0],1360,410,136,168
root[0]/Panel_Misssion_D[1]/MissionPanel_D[2],1505.5,700,425,386
root[0]/Panel_Misssion_D[1]/Button_LOG[1],1391,275,196,68
root[0]/Panel_Misssion_D[1]/Button_fight[0],1620,275,196,68
root[0]/_BG[0],960,540,1920,1080
